name,constituency_code,type,country_name,country_code,region_name,region_code,polling_on,valid_vote_count,majority,population_count
Colchester,E14001176,Borough,England,E92000001,East of England,E12000006,2019-12-12,49091,10940,76843
Colne Valley,E14001177,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,51765,7761,71518
Congleton,E14001178,County,England,E92000001,North West,E12000002,2019-12-12,49813,18203,69836
Corby and East Northamptonshire,E14001179,County,England,E92000001,East Midlands,E12000004,2019-12-12,53890,8676,76748
North Cornwall,E14001385,County,England,E92000001,South West,E12000009,2019-12-12,54077,15783,75034
South East Cornwall,E14001486,County,England,E92000001,South West,E12000009,2019-12-12,52247,20225,71734
North Cotswolds,E14001386,County,England,E92000001,South West,E12000009,2019-12-12,50793,20997,70915
South Cotswolds,E14001482,County,England,E92000001,South West,E12000009,2019-12-12,53189,16092,72865
Coventry East,E14001180,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,42684,7288,73389
Coventry North West,E14001181,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,47744,208,73431
Coventry South,E14001182,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,46805,808,70998
Cowdenbeath and Kirkcaldy,S14000071,County,Scotland,S92000003,,,2019-12-12,47148,3220,70329
Cramlington and Killingworth,E14001183,County,England,E92000001,North East,E12000001,2019-12-12,48072,2157,73295
Crawley,E14001184,Borough,England,E92000001,South East,E12000008,2019-12-12,49899,8360,74446
Crewe and Nantwich,E14001185,County,England,E92000001,North West,E12000002,2019-12-12,50196,5816,76236
Croydon East,E14001186,Borough,England,E92000001,London,E12000007,2019-12-12,50622,3413,75346
Croydon South,E14001187,Borough,England,E92000001,London,E12000007,2019-12-12,50894,13408,71541
Croydon West,E14001188,Borough,England,E92000001,London,E12000007,2019-12-12,44449,20090,70812
Cumbernauld and Kirkintilloch,S14000072,County,Scotland,S92000003,,,2019-12-12,48212,12005,70579
Dagenham and Rainham,E14001189,Borough,England,E92000001,London,E12000007,2019-12-12,43992,706,73627
Darlington,E14001190,County,England,E92000001,North East,E12000001,2019-12-12,46301,4968,70446
Dartford,E14001191,County,England,E92000001,South East,E12000008,2019-12-12,46488,14704,72048
Daventry,E14001192,County,England,E92000001,East Midlands,E12000004,2019-12-12,56956,26612,76539
Derby North,E14001193,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,47017,2540,71876
Derby South,E14001194,Borough,England,E92000001,East Midlands,E12000004,2019-12-12,42462,6019,72067
Derbyshire Dales,E14001195,County,England,E92000001,East Midlands,E12000004,2019-12-12,53930,18797,71435
Mid Derbyshire,E14001362,County,England,E92000001,East Midlands,E12000004,2019-12-12,51582,16816,70085
North East Derbyshire,E14001391,County,England,E92000001,East Midlands,E12000004,2019-12-12,49479,12902,72344
South Derbyshire,E14001483,County,England,E92000001,East Midlands,E12000004,2019-12-12,47199,16483,71202
Central Devon,E14001155,County,England,E92000001,South West,E12000009,2019-12-12,56724,17300,73491
North Devon,E14001387,County,England,E92000001,South West,E12000009,2019-12-12,55581,14813,76455
South Devon,E14001484,County,England,E92000001,South West,E12000009,2019-12-12,54189,13719,71691
South West Devon,E14001495,County,England,E92000001,South West,E12000009,2019-12-12,56100,23090,75371
Dewsbury and Batley,E14001196,Borough,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,46101,14009,70226
Didcot and Wantage,E14001197,County,England,E92000001,South East,E12000008,2019-12-12,54346,10023,74356
Doncaster Central,E14001198,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,46043,1271,75007
Doncaster East and the Isle of Axholme,E14001199,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,43084,10085,70113
Doncaster North,E14001200,County,England,E92000001,Yorkshire and The Humber,E12000003,2019-12-12,40070,2070,71739
Dorking and Horley,E14001201,County,England,E92000001,South East,E12000008,2019-12-12,54495,10381,70317
Mid Dorset and North Poole,E14001363,County,England,E92000001,South West,E12000009,2019-12-12,54907,16570,74305
North Dorset,E14001388,County,England,E92000001,South West,E12000009,2019-12-12,53464,23195,72109
South Dorset,E14001485,County,England,E92000001,South West,E12000009,2019-12-12,52719,18147,76640
West Dorset,E14001575,County,England,E92000001,South West,E12000009,2019-12-12,57813,12388,75390
Dover and Deal,E14001202,County,England,E92000001,South East,E12000008,2019-12-12,51197,12421,75855
Droitwich and Evesham,E14001203,County,England,E92000001,West Midlands,E12000005,2019-12-12,52689,25631,74345
Dudley,E14001204,Borough,England,E92000001,West Midlands,E12000005,2019-12-12,42224,13609,71083
Dulwich and West Norwood,E14001205,Borough,England,E92000001,London,E12000007,2019-12-12,52194,24963,74314
